,2444290,,,,,,Reviews,
181006392,brazilian,2024.10.30 13:50,✅,✅,0.5,1,"all game comedy 4

The team delivered an exceptional display, combining skill, strategy, and teamwork to dominate the game. The attack was sharp, the midfield controlled the tempo, and the defense was solid throughout. Every player contributed to a flawless performance, showcasing the true essence of football brilliance. An outstanding victory!

CONGRATULATIONS GUYS","all game comedy 4

The team delivered an exceptional display, combining skill, strategy, and teamwork to dominate the game. The attack was sharp, the midfield controlled the tempo, and the defense was solid throughout. Every player contributed to a flawless performance, showcasing the true essence of football brilliance. An outstanding victory!

CONGRATULATIONS GUYS"
170905654,brazilian,2024.06.27 23:21,✅,❌,0.5,1,"A different game in the use of ships, more in an arcade style. It changes as you progress through the levels, keeping it from becoming repetitive. A good fun way to pass the time.","A different game in the use of ships, more in an arcade style. It changes as you progress through the levels, keeping it from becoming repetitive. A good fun way to pass the time."
170424724,brazilian,2024.06.21 23:20,✅,✅,0.5,1,JOGO FODA PRA KRL,AWESOME GAME FOR KRL
170424652,brazilian,2024.06.21 23:19,✅,✅,0.5,1,"jogo godddddd!!!!


","game goddddddd!!!!

"
167664316,brazilian,2024.05.19 04:43,✅,✅,0.5,2,"Um excelente arcade para testar suas habilidades e desafiar seu amigos em uma competição, um jogo que te prende e te faz querer ir mais longe a cada desafio que você enfrenta. IRADO DEMAIS!!","An excellent arcade game to test your skills and challenge your friends in a competition, a game that captivates you and makes you want to go further with each challenge you face. AWESOME!!"
162964342,brazilian,2024.03.16 06:56,✅,✅,0.5,2,"Após quase 5 horas, Hyper Space 100% :-D, jogo no estilo de nave, mas só usando esquivas. 
Enfim, o modo multiplayer é a parte mais interessante.","After almost 5 hours, Hyper Space 100% :-D, a spaceship-style game, but only using dodges. 
Anyway, the multiplayer mode is the most interesting part."
161638289,brazilian,2024.02.28 12:48,✅,❌,0.5,3,"Seria interessante ter um sistema de salvamento, tirando isso, divertido!! Só mais uma vez, só mais uma vez...

https://youtu.be/OpSnNPHrFn4","It would be interesting to have a save system, but otherwise, it's fun!! Just one more time, just one more time...

https://youtu.be/OpSnNPHrFn4"
160042705,brazilian,2024.02.07 19:28,✅,❌,0.5409181714,6,"Joguin maneiro, bem simples, gameplay desafiador daqueles que dá raiva mas você não quer largar.","Cool game, very simple, challenging gameplay that makes you angry but you don't want to put it down."
159767157,brazilian,2024.02.03 16:33,✅,✅,0.5,3,O jogo é muito divertido e interativo. A cada nova fase os desafios se tornam mais desafiadores e tornam a experiência mais agravél.,"The game is very fun and interactive. With each new stage, the challenges become more challenging, making the experience more enjoyable."
159719759,english,2024.02.03 01:38,✅,✅,0.5,3,"Hyper Space delivers a refreshing blend of simplicity and enjoyment. Its straightforward gameplay mechanics make it easy to pick up and play. Dodging obstacles and collecting stars in a fast-paced environment is both thrilling and addictive. Whether you're a casual gamer looking for some quick fun or a seasoned player seeking a new challenge, Hyper Space offers a delightful gaming experience that is sure to entertain.","Hyper Space delivers a refreshing blend of simplicity and enjoyment. Its straightforward gameplay mechanics make it easy to pick up and play. Dodging obstacles and collecting stars in a fast-paced environment is both thrilling and addictive. Whether you're a casual gamer looking for some quick fun or a seasoned player seeking a new challenge, Hyper Space offers a delightful gaming experience that is sure to entertain."
159699674,brazilian,2024.02.02 20:42,✅,✅,0.5,3,"VICIANTE! A cada fase vai ficando mais e mais interessante, com novos desafios, a gente não quer parar de jogar! Fácil de aprender e ir dominando a jogabilidade aos poucos, bom demais. Gráficos e identidade visual bem bonitos, storytelling massa. Recomendo muito!","ADDICTIVE! Each level gets more and more interesting, with new challenges, making you want to keep playing! Easy to learn and gradually master, it's incredibly good. Beautiful graphics and visual identity, and excellent storytelling. I highly recommend it!"
159688746,brazilian,2024.02.02 18:10,✅,✅,0.5,4,"O jogo é bem intuitivo e tem diferentes níveis. Agrada todos os públicos e os desafios são cada vez mais instigantes. Toda vez que você perde, você quer tentar de novo.
A trilha é muito boa, não irrita durante a gameplay.
A facilidade dos comandos deve agradar todos os tipos de players.
Hyper Space é um ótimo jogo, daqueles que você joga quando está com pouco tempo, mas queria se divertir com algo.
Ansioso pela versão mobile.","The game is very intuitive and has different levels. It appeals to everyone, and the challenges are increasingly challenging. Every time you lose, you want to try again.
The soundtrack is very good and doesn't irritate during gameplay.
The ease of controls should appeal to all types of players.
Hyper Space is a great game, the kind you play when you're short on time but want to have some fun.
Looking forward to the mobile version."
159649666,english,2024.02.02 05:27,✅,❌,0.5,3,"This indie arcade game is fun to play for a few hours despite the simplistic graphics.
As the game progresses the obstacles and challenges get harder to avoid and some of the achievements are a bit above my skill level in the game. Still, it kept me entertained for a while and it's price is reasonable.","This indie arcade game is fun to play for a few hours despite the simplistic graphics.
As the game progresses the obstacles and challenges get harder to avoid and some of the achievements are a bit above my skill level in the game. Still, it kept me entertained for a while and it's price is reasonable."
159613027,english,2024.02.01 18:47,✅,✅,0.5,2,Someone please remove me from my chair I'm addicted to this game,Someone please remove me from my chair I'm addicted to this game
159485111,brazilian,2024.01.28 22:07,✅,✅,0.5238095522,5,"Jogo sensacional! Um jogo que me deu muita nostalgia mas com método moderno e me supreendi com o modo campanha, muito divertido. Fiquei jogando e nem vi o tempo passar, já até joguei com alguns amigos e to me considerando o top1 do game kkk muito bom mesmo, recomendo!","Sensational game! A game that brought me a lot of nostalgia but with a modern approach, and I was surprised by the campaign mode, very fun. I kept playing and didn't even notice the time passing, I've even played with some friends and I'm considering myself the game's top 1 lol really good, I recommend it!"
159357563,brazilian,2024.01.27 03:55,✅,✅,0.5,2,"campionato de riper space

nome:
nome da navinha: 

dia 31/02/2024
remote play togueter do leal
","Riper Space Championship

Name:
Name of the spaceship:

February 31, 2024
Remote Play to Gueter do Leal
"
159207830,brazilian,2024.01.25 07:33,✅,❌,0.5238095522,4,"Acabei de finalizar o modo história e achei bem interessante o jogo num geral. A movimentação que para mim é o ponto forte a ponto de sempre querer me mexer pelo board o tempo todo. Os gráficos estão ótimos e muito bem feitos, isso vale para os VFX's e toda a trilha sonora que da um PLUS em toda a experiencia.

Pontos Positivos:
1 - Movimentação prazerosa.
2 - Gráficos muito bem feitos.
3 - Trilha sonora Exepcional.
4 - Ilustrações lindas.
5 - VFX bem feitos.

Pontos a se melhorar:
1 - O boss ter apenas um tipo de ataque é meio anti climax, toda a dificuldade do level final são os outros desafios o boss não trás perigo nenhum para fase, sendo facilmente de desviar dele.
2 - A animação do boss poderia ser um pouco mais fluida.
3 - A entrada do boss poderia ser um pouco mais impactante.
4 - O texto com os objetivos antes de começar a fase tem uma menor se comparada com os de dentro da fase.

Ponto negativo:
1 - A voz que fala ""go"", ""mission failed"" tem uma qualidade muito inferior se comparada com o resto do jogo.

O jogo está muito bem feito e entrega completamente tudo oque é prometido, super recomendo.
","I just finished the story mode and found the game overall very interesting. For me, the movement is its strong point, making me want to move around the board all the time. The graphics are excellent and very well done, as are the VFX and the soundtrack, which adds a plus to the entire experience.

Positive Points:
1 - Pleasant movement.
2 - Very well-done graphics.
3 - Exceptional soundtrack.
4 - Beautiful illustrations.
5 - Well-done VFX.

Points for improvement:
1 - The boss having only one type of attack is a bit of an anticlimax. The final level's difficulty lies in the other challenges. The boss poses no threat to the stage and is easily dodged.
2 - The boss's animation could be a little more fluid.
3 - The boss's entrance could be a little more impactful. 4 - The text with objectives before starting the level is shorter compared to the text within the level.

Negative points:
1 - The voice that says ""go"" or ""mission failed"" is of much lower quality compared to the rest of the game.

The game is very well made and completely delivers on its promises. I highly recommend it."
159168937,english,2024.01.24 21:36,✅,✅,0.5227996111,5,BEWARE OF SOUL CRUSHING DIFFICULTY,BEWARE OF SOUL CRUSHING DIFFICULTY
159150693,polish,2024.01.24 17:53,✅,❌,0.5,2,"The game is very engaging and enjoyable, I recommend!","The game is very engaging and enjoyable, I recommend!"
159104212,brazilian,2024.01.24 04:48,✅,❌,0.5,3,"Como é bom um joguinho arcade para sentar e jogar sem complicação! Ainda assim é cheio de camadas para serem descobertas aos poucos! 

Achei o design das naves e cenários muito bonitos, e a música também é ótima!

O modo versus local é muito legal para quem gosta de jogar com amigos! Só pode ter uma atualização para o player 2 usar controle também.","How wonderful is an arcade game to sit down and play without complications! Yet it's full of layers to be discovered little by little!

I found the ship and scenery designs very beautiful, and the music is also great!

The local versus mode is really cool for those who like to play with friends! It just needs an update so that player 2 can use a controller too."
159102871,brazilian,2024.01.24 04:23,✅,✅,0.5,3,"Really good and adictive game! A brand new classic Arcade! Looks easy, but it is challenging and smart! Hope some Dlcs for story mode in the future. New missions would be very fun! Arcade mode is very adictive!

Jogo muito bom e viciante! Um clássico da nova geração! No início parece fácil, mas é inteligente e desafiador. Torcendo por novas missões futuramente no modo história! O modo arcade é viciante!","Really good and addictive game! A brand new arcade classic! It looks easy, but it's challenging and clever! Hope some DLCs for story mode in the future. New missions would be very fun! Arcade mode is very addictive!

Very good and addictive game! A new generation classic! It seems easy at first, but it's clever and challenging. Looking forward to new missions in the story mode in the future! Arcade mode is addictive!"
158940109,english,2024.01.22 06:46,✅,✅,0.5377922654,6,"[h1]Analysis[/h1]:
The game has a very simple gameloop, which is enjoyable in most of the parts. The game needs to be optimized, sometimes the game just froze in some parts, nothing that impacted the gameplay. Overall is a very fun game, you can spend hours trying to complete the history mode. The arcade mode is very challenging too, most of the time that I played was on arcade mode.
[h1]Feedback for Developers[/h1]:
[olist]
    [*]Making the ship to move faster (by faster I mean smoothier) would improve the gameplay.
    [*]I found confusing the disposition in the main menu, I found the history mode by accident.
[/olist]

","[h1]Analysis[/h1]:
The game has a very simple gameloop, which is enjoyable in most of the parts. The game needs to be optimized, sometimes the game just froze in some parts, nothing that impacted the gameplay. Overall is a very fun game, you can spend hours trying to complete the history mode. The arcade mode is very challenging too, most of the time that I played was on arcade mode.
[h1]Feedback for Developers[/h1]:
[olist]
    [*]Making the ship to move faster (by faster I mean smoothier) would improve the gameplay.
    [*]I found confusing the disposition in the main menu, I found the history mode by accident.
[/olist]

"
158939819,brazilian,2024.01.22 06:41,✅,✅,0.5,3,"Jogo bonito, jogo bem feito e formoso. Se mosca interna jogando","Beautiful game, well-made and beautiful game. If you're playing inside,"
158935421,brazilian,2024.01.22 05:18,✅,✅,0.5238095522,6,"Hyper Space é um jogo cativante que te coloca no controle de uma nave espacial em uma série de desafios pelo cosmos.
Tem vários modos de jogo e a diversão é garantida no Multiplayer!
Com controles agradáveis, gráficos bonitos e uma boa trilha sonora, este jogo é uma verdadeira jóia do gênero espacial.","Hyper Space is a captivating game that puts you in control of a spaceship in a series of challenges across the cosmos.
It has several game modes, and multiplayer is guaranteed to be fun!
With easy controls, beautiful graphics, and a good soundtrack, this game is a true gem of the space genre."
158918943,brazilian,2024.01.22 00:35,✅,✅,0.5,4,"Jogo extremamente viciante e divertido! 
",Extremely addictive and fun game!
158909204,brazilian,2024.01.21 22:15,✅,✅,0.5454545617,9,"No cenário atual em que vemos cada vez mais jogos querendo implementar o maior número de mecânicas possível para dar a ilusão de profundidade, é muito bom ter um jogo como esse, que dá foco absoluto ao elemento de sua gameplay que o torna mais divertido e viciante, desenvolvendo-o ao máximo. É o tipo de jogo que você pode abrir e começar a se entreter imediatamente, sem precisar se preocupar com dezenas de menus e stats; é um alívio, já que nossa rotina já é complicada o suficiente.","In today's world, where we see more and more games trying to implement as many mechanics as possible to create the illusion of depth, it's great to have a game like this, which gives absolute focus to the gameplay element that makes it most fun and addictive, developing it to its fullest. It's the kind of game you can open and start playing right away, without having to worry about dozens of menus and stats; it's a relief, since our daily lives are already complicated enough."
158899387,brazilian,2024.01.21 19:57,✅,✅,0.5652173758,10,"O jogo se destaca por oferecer uma gameplay simples, intuitiva e acessível para pessoas PCD, utilizando apenas os direcionais como forma de navegar pelo quadrante. Essa simplicidade se torna complexa a medida que se progride, com uma alta curva de aprendizagem que requer insistência nos níveis mais altos. 
Hyper Space é um jogo que indico para se jogar casualmente, especialmente entre amigos no modo multiplayer local ou via Remote Play, sendo praticamente um jogo obrigatório para quem tem Steam Deck. 

+ Trilha musical complementa o clima e efeitos sonoros remetem aos clássicos.
+ Animações caprichadas e visual estiloso, com cutscenes divertidas.
+ Jogabilidade divertida no modo competitivo
+ Batalhas com chefes são intensas e criativas
-  Ausência de seleção de dificuldade, podendo ser frustrante para jogadores menos insistentes
- Uma tabela de High Score global seria estimulante para fãs do gênero","The game stands out for offering simple, intuitive, and accessible gameplay for people with disabilities, using only the directional pads to navigate the quadrant. This simplicity becomes complex as you progress, with a steep learning curve that requires persistence at higher levels.

Hyper Space is a game I recommend for casual play, especially with friends in local multiplayer or via Remote Play, and is practically a must-have for Steam Deck owners.

+ The soundtrack complements the atmosphere, and the sound effects evoke classics.
+ The neat animations and stylish visuals, with fun cutscenes.
+ Fun gameplay in competitive mode
+ Boss battles are intense and creative
- Lack of difficulty selection, which can be frustrating for less persistent players
- A global high score table would be encouraging for fans of the genre"
158894376,english,2024.01.21 18:44,✅,✅,0.4846066236,3,"Jogo muito bom!! te prende bastante, primeiras impressões são positivas","Jogo muito bom!! te prende bastante, primeiras impressões são positivas"
158860902,english,2024.01.21 07:40,✅,✅,0.4846066236,4,Very fun and challenging. Loved it,Very fun and challenging. Loved it
158852024,brazilian,2024.01.21 05:17,✅,✅,0.5,5,Hyper Space offers an instant immersion with its engaging arcade experience. Highly recommend!!,Hyper Space offers an instant immersion with its engaging arcade experience. Highly recommend!!
158846890,brazilian,2024.01.21 03:52,✅,❌,0.5,6,"O Level Design e a Direção de Arte são muito bem feitos.
Modos de jogo, como arcade, multiplayer e campanha são bem divertidos.
A campaha apesar de curta, é simples e desafiadora, com diferentes desafios.
Jogo muito bem desenvolvido, com bastante dedicação e carinho, recomendo Bastante!!
","The level design and art direction are very well done.
Game modes, like arcade, multiplayer, and campaign, are very fun.
The campaign, although short, is simple and challenging, with different challenges.
A very well-developed game, with a lot of dedication and care. I highly recommend it!"
158834454,brazilian,2024.01.21 00:50,✅,✅,0.5238095522,8,"Hyper Space oferece uma experiência de jogo Arcade verdadeiramente unica e memorável.
A jogabilidade desafiadora, combinada com a variedade de obstáculos, mantém o jogo sempre interessante. Cada sessão oferece uma oportunidade de superar limites e aprimorar as suas habilidades.
O Modo Multiplayer é divertido, muito competitivo para jogar contra os amigos, e o Modo História traz uma variedade de conteúdos pro jogo!","Hyper Space offers a truly unique and memorable arcade gaming experience.
The challenging gameplay, combined with the variety of obstacles, keeps the game constantly interesting. Each session offers an opportunity to push the limits and hone your skills.
The multiplayer mode is fun and highly competitive, allowing you to play against friends, and the story mode brings a variety of content to the game!"
158814068,brazilian,2024.01.20 20:11,✅,✅,0.5454545617,9,"Hyper Space é um jogo cativante que te coloca no controle de uma nave espacial em uma série de desafios pelo cosmos.
Tem vários modos de jogo e a diversão é garantida no Multiplayer!
Com controles agradáveis, gráficos bonitos e uma boa trilha sonora, este jogo é uma verdadeira jóia do gênero espacial. 

Recomendo demais!","Hyper Space is a captivating game that puts you in control of a spaceship in a series of challenges across the cosmos.
It has several game modes, and multiplayer is guaranteed to be fun!
With easy controls, beautiful graphics, and a good soundtrack, this game is a true gem of the space genre.

I highly recommend it!"
158798815,brazilian,2024.01.20 16:04,✅,❌,0.5819935799,11,"The game delivers an arcade experience that captivates from the first second, and the soundtrack truly enhances immersion, providing an electrifying atmosphere that propels gameplay to new heights, alongside the MP VS mode that makes competing with friends even more enjoyable. Highly recommended for space game enthusiasts and those seeking an unmatched adrenaline rush","The game delivers an arcade experience that captivates from the first second, and the soundtrack truly enhances immersion, providing an electrifying atmosphere that propels gameplay to new heights, alongside the MP VS mode that makes competing with friends even more enjoyable. Highly recommended for space game enthusiasts and those seeking an unmatched adrenaline rush"
158774790,brazilian,2024.01.20 07:31,✅,✅,0.5,5,"Eu adorei esse jogo, muito bom nota mil, muito viciante e o maior desafio é conseguir parar de jogar porque sinceramente está incrível!!!","I loved this game, it's really good, very addictive and the biggest challenge is being able to stop playing because it's honestly amazing!!!"
158767828,brazilian,2024.01.20 06:03,✅,✅,0.5,6,QUE JOGO INCRIVEL!!!,WHAT AN AMAZING GAME!!!
158764900,english,2024.01.20 05:24,✅,❌,0.5153933764,5,"It's a fun, fast-paced arcade game that tests your reflexes. If you relax for a second, that's it, you're dead. Nice soundtrack as well!","It's a fun, fast-paced arcade game that tests your reflexes. If you relax for a second, that's it, you're dead. Nice soundtrack as well!"
158758331,english,2024.01.20 03:44,✅,❌,0.5582120419,8,"Very cool!!!! High replayability, great arcade mode and tons of ships to unlock.","Very cool!!!! High replayability, great arcade mode and tons of ships to unlock."
158748944,brazilian,2024.01.20 01:17,✅,✅,0.5,6,"Muito divertido tanto jogar modo historia quanto Multiplyer, bem viciante, dinâmico e uma otina opção para se divertir com a galera.","It's a lot of fun to play both story mode and Multiplayer, very addictive, dynamic and a great option to have fun with friends."
158745948,brazilian,2024.01.20 00:34,✅,✅,0.5,6,Simplesmente incrível! Tão viciante que seu maior desafio vai ser sair do jogo!,Simply incredible! So addictive that your biggest challenge will be leaving the game!
158744832,english,2024.01.20 00:17,✅,❌,0.5153933764,6,"This game is really enjoyable and addictive.
The campaign is short, but what really shines are the arcade and multiplayer modes.","This game is really enjoyable and addictive.
The campaign is short, but what really shines are the arcade and multiplayer modes."
158743911,brazilian,2024.01.20 00:05,✅,❌,0.5454545617,9,"Avaliação: ⭐️⭐️⭐️⭐️⭐️

Hyper Space é um jogo arcade que entrega uma experiência de jogo diferente desde o primeiro minuto. Os controles são suaves, a estética visual é deslumbrante e a trilha sonora é imersiva. A jogabilidade é desafiadora, mas incrivelmente satisfatória. Recomendo para todos os fãs de jogos espaciais!","Rating: ⭐️⭐️⭐️⭐️⭐️

Hyper Space is an arcade game that delivers a unique gaming experience from the very first minute. The controls are smooth, the visuals are stunning, and the soundtrack is immersive. The gameplay is challenging yet incredibly satisfying. I recommend it to all space game fans!"
158743754,english,2024.01.20 00:03,✅,❌,0.5153933764,6,"Very good game, lots of fun and pretty adctive.

Some things made the story mode too hard.

Level 2 has very little time for the 50 stars needed to complete. If you take your time and play safe, you won't have enough time to finish the level.

Level 5 is pretty cool, the big monster is really cool looking. The only thing was that sometimes the stars spawn in his area, and it is impossible to complete combos, could have a detection on where the stars are spawning to prevent it.

Other than that, had a lot of fun, used all my breaks at work to play and finish the story mode.

Level 3 with the UFO is pretty cool, and really gets you moving if you weren't already.

I'll look for someone to player multiplayer with, and add to this review.

Great job guys, looking forward to see new games in the future.","Very good game, lots of fun and pretty adctive.

Some things made the story mode too hard.

Level 2 has very little time for the 50 stars needed to complete. If you take your time and play safe, you won't have enough time to finish the level.

Level 5 is pretty cool, the big monster is really cool looking. The only thing was that sometimes the stars spawn in his area, and it is impossible to complete combos, could have a detection on where the stars are spawning to prevent it.

Other than that, had a lot of fun, used all my breaks at work to play and finish the story mode.

Level 3 with the UFO is pretty cool, and really gets you moving if you weren't already.

I'll look for someone to player multiplayer with, and add to this review.

Great job guys, looking forward to see new games in the future."
158742516,english,2024.01.19 23:46,✅,✅,0.4846066236,6,It's fun <3,It's fun <3
158741987,english,2024.01.19 23:39,✅,❌,0.594078362,11,Short but enjoyable game that scratches that arcade itch.,Short but enjoyable game that scratches that arcade itch.
158738012,brazilian,2024.01.19 22:53,✅,✅,0.5,8,"Jogo muito bom, completamente viciante com certeza sou o melhor jogador, MONO NAVE!","Very good game, completely addictive, I'm definitely the best player, MONO NAVE!"
158736925,english,2024.01.19 22:36,✅,❌,0.563575983,12,"Great game to spend some time and have fun with (and without) friends! The king of arcade game that gets you a little bit addicted to beating your own records!  Also, the history mode is challenging as fuck c.c 

Good points: 
- it's simple
- it's pretty
- it's cheap 
- it's great

Bad points: 
- it ends - JOKING! THE ARCADE MODE GOES FOREVER >:)","Great game to spend some time and have fun with (and without) friends! The king of arcade game that gets you a little bit addicted to beating your own records!  Also, the history mode is challenging as fuck c.c 

Good points: 
- it's simple
- it's pretty
- it's cheap 
- it's great

Bad points: 
- it ends - JOKING! THE ARCADE MODE GOES FOREVER >:)"
158735464,english,2024.01.19 22:16,✅,❌,0.5238095522,3,GAME GOOD 🤤🤤🤤,GAME GOOD 🤤🤤🤤
