,1096410,,,,,,Reviews,
205276630,english,2025.08.27 03:59,✅,❌,0.5,0,"Your enjoyment will depend entirely on what you’re coming in to this looking for.

If you’re wanting an RPG experience that captures the player agency and character building that resembles the original game, you’re not going to get that here. There are no stats and very few differences between the clans outside of narrative flavor.

What it does do well is act as a well written and engaging visual novel. Multiple playthroughs do reward you with more content and context for the characters and I think aid in fleshing out the narrative overall. 

The art style is also fantastic and combined with the music there is a lot of effort put in to immersing you in the story. 

It’s not for everyone and it’s not amazing but on sale I do think it’s worth a look.","Your enjoyment will depend entirely on what you’re coming in to this looking for.

If you’re wanting an RPG experience that captures the player agency and character building that resembles the original game, you’re not going to get that here. There are no stats and very few differences between the clans outside of narrative flavor.

What it does do well is act as a well written and engaging visual novel. Multiple playthroughs do reward you with more content and context for the characters and I think aid in fleshing out the narrative overall. 

The art style is also fantastic and combined with the music there is a lot of effort put in to immersing you in the story. 

It’s not for everyone and it’s not amazing but on sale I do think it’s worth a look."
205179376,english,2025.08.25 21:09,❌,✅,0.5,0,"First of all this is not a game, it's a book, or really a short story, and it's mostly pretty underwhelming. It does an okay job introducing you to the setting, but only okay. If you're a fan already, it's kinda an interesting story, but only kinda. Some of the characters and subplots are mildly interesting, but only mildly. You make very few ""choices"", as far as I could tell, none of them have any impact at all, you rarely use your powers or do anything that feels very vampirey and when you do, that's underwhelming as well. There's even a few points where you'll have the option to do something normal or with a power, and then the text will say, actually it was super easy, didn't even need your powers, just to drive home that your input doesn't matter. An odd choice from the writers.

I bought this on a deep sale and if you want to get it the same way, it's okay. But at full price, there's no way this is worth the money.","First of all this is not a game, it's a book, or really a short story, and it's mostly pretty underwhelming. It does an okay job introducing you to the setting, but only okay. If you're a fan already, it's kinda an interesting story, but only kinda. Some of the characters and subplots are mildly interesting, but only mildly. You make very few ""choices"", as far as I could tell, none of them have any impact at all, you rarely use your powers or do anything that feels very vampirey and when you do, that's underwhelming as well. There's even a few points where you'll have the option to do something normal or with a power, and then the text will say, actually it was super easy, didn't even need your powers, just to drive home that your input doesn't matter. An odd choice from the writers.

I bought this on a deep sale and if you want to get it the same way, it's okay. But at full price, there's no way this is worth the money."
205157500,schinese,2025.08.25 15:07,❌,✅,0.5,0,"不推荐全价买，最好史低入手。
以及：这么好的世界观为什么做成这样。。。感觉明明能做得更好玩的",
205007690,english,2025.08.23 09:46,✅,❌,0.5,0,"I feel like this game can be a good start for anyone that never touched the World of Darkness series, especially the Vampire the Masquerade setting. Because it do give you some basics and a nice starting point to jump into the roleplaying in the later setting. Even for veterans it could be a nice ""snack"" to play through, but the game is so short that I would recommend to buy it on a sale, because otherwise it is just too much for that full price.","I feel like this game can be a good start for anyone that never touched the World of Darkness series, especially the Vampire the Masquerade setting. Because it do give you some basics and a nice starting point to jump into the roleplaying in the later setting. Even for veterans it could be a nice ""snack"" to play through, but the game is so short that I would recommend to buy it on a sale, because otherwise it is just too much for that full price."
204842389,russian,2025.08.21 09:40,✅,❌,0.5,0,"В этой игре есть достаточно сильные по своей атмосфере сцены, что бы зацепить и не отпускать. Персонажи приятные и интересные, сюжет стандартный для камарильи. Все друг друга используют, обманывают и наёбывают. Классика",
204702862,spanish,2025.08.19 19:11,✅,✅,0.5,0,"Es la primera vez que he jugado a un juego de WoD. Llevo unos años queriendo conocer el mundo porque tiene muchos elementos que me pueden atraer. Algunas reseñas en inglés que indican que esta novela gráfica puede servir de introducción a novatos me ha hecho dar el paso. Como algunos imaginarán, parte del impulso para entrar en World of Darkness se debe al próximo estreno de Vampire The Masquerade Bloodlines 2. Si eres un novato como yo, recomiendo empezar por este juego para ir haciéndose una idea de Vampiro. Mi intención era jugar a algo breve que me explicara pequeños detalles de manera orgánica en lugar de entrar de cabeza en algo que asuma conocimientos previos de la ambientación por parte de los jugadores.

Ahora sí, hablemos del juego: 
-Es breve (unas nueve horas en mi primera vuelta). Esto es interesante si buscas algo introductorio a lo que dedicar uno o dos días. La parte mala es, como han indicado algunos jugadores, que acaba de forma abrupta. Aunque entiendo la idea siento que me han lanzado una jarra de agua fría con hielos al verme plantada frente a ese final. Tengo muchas preguntas que no han quedado resueltas porque hay un contrarreloj que no me ha permitido explorar todas las misiones secundarias y eso puede resultar frustrante para jugadores a los que les gusta conocer todos los detalles posibles sobre los personajes involucrados. Entiendo la decisión porque la temporalidad del juego no permite que profundices lo suficiente, algo que sucede en el mundo real también. 
-Los personajes son interesantes y vemos algunas pinceladas de la vida de cada uno. Lo que no se nos cuenta de forma explícita se puede deducir, imaginar o ampliar (asumo) en las siguientes entregas. En general me han gustado, incluso reconozco la profundidad a aquellos que no terminan de convencerme. 
-Hay opciones de diálogo que merece la pena explorar. Es un juego pequeño, una aventura que podría durar un par de sesiones (en términos roleros) y el estudio tengo entendido que era pequeñito, así que comprendo que muchas decisiones lleven a la misma conclusión o líneas de diálogo muy similares. El final es el que es, he jugado con los tres personajes forzando situaciones distintas, pero en principio solo parece que todo acaba de la misma forma (para mí no es algo negativo, pero puede que algunos jugadores lo vean como tal). 
-La música es muy buena, acompaña muy bien a las ilustraciones que van a poner color a las partes más decadentes de la ciudad. Es muy acertada. 

Ahora toca hablar de las peores partes del juego:
-Destaco que, a diferencia de juegos del estilo, no se pueden seleccionar capítulos una vez has terminado el juego. 
-Algo que va de la mano con el punto anterior es que el juego tiene recursos muy buenos para los novatos en vampiro como el diccionario de términos empleados habitualmente en la ambientación… una idea maravillosa que se derrocha porque cuando tu personaje muere o acabas la partida NO PUEDES VOLVER A TU ÚLTIMO GUARDADO. La partida simplemente hace *puff* y se desvive. Tu partida se borra por completo. Me apena terriblemente porque soy una de esas jugadoras pesadas a las que les gusta leer todos los diálogos y alternativas (algo que hacía mucho en BG3, Dragon Age o Pentiment). Supongo que este punto negativo tendría sentido para relacionarlo con el realismo de jugar en mesa en el que si tu personaje pasa a mejor vida pues la campaña ha terminado para ti, pero no estoy de acuerdo con esta decisión porque estamos jugando a un videojuego, al fin y al cabo, cada medio tiene sus puntos positivos y sus puntos negativos. 
-Otra parte terrible es la traducción al español. Gracias por traducirlo, supongo, pero creo que han hecho uso de algún traductor automático porque muchas partes no tenían sentido (a veces no se tiene en cuenta el género del personaje al que se están dirigiendo, usan calcos del inglés que no tienen sentido en español y cosas del estilo). 

Como conclusión me gustaría animar a quienes tienen curiosidad por estos juegos que den un paso adelante. Estoy de acuerdo con las notas de 7 ó 6, a mí no me gusta calificar una obra en términos numéricos porque suena muy frío, descontextualizado. Me he divertido jugando y explorando en las distintas vueltas que he dado al juego.
",
204504399,italian,2025.08.17 00:35,✅,✅,0.5,0,"Vampire: The Masquerade - Coteries of New York è una storia interattiva basata sul Mondo di Tenebra in cui è ambientato il gioco di ruolo Vampiri: La Masquerade. In termini prettamente di gioco, si gioca poco, trattandosi di un racconto interattivo, per cui l'imput del giocatore è limitato alla scelta del personaggio da interpretare, tra i tre disponibili (Toreador, Ventrue e Brujah) e alla scelta delle opzioni di dialogo e di interazione (comprende l'occasionale utilizzo di poteri vampirici, definiti Discipline). A livello artistico,  ho trovato il gioco molto gradevole, sia nel design dei personaggi, che in quello degli sfondi.
In termini di narrativa, il gioco sa essere molto avvincente. Mi ha coinvolto molto, spingendomi a vedere come finiva, anche se ho qualche riserva sul finale. Per quanto riguarda la rigiocabilità, essa dipende più dal fatto che non si possono portare a termine tutte le missioni in una sola partita (il gioco si svolge in un lasso temporale di una quindicina di notti), ma per quello che ho notato, a parte qualche caso specifico, il testo è pressappoco uguale per tutti e tre i personaggi.
In definitiva, il gioco mi è piaciuto molto, consiglierei di darci un'occhiata, magari in un periodo in cui è in sconto.",
204410784,english,2025.08.15 20:59,❌,✅,0.3808424771,0,"Reads like leftwing tumbler fan-fiction. Instead of vampire poltics, it's on-the-nose political pandering.","Reads like leftwing tumbler fan-fiction. Instead of vampire poltics, it's on-the-nose political pandering."
204308904,english,2025.08.14 13:44,✅,❌,0.5250659585,1,"a nice little text based game with a lot of reading,the mechanics are not particularly flash out but not shown to be particularly useful either,worth it on sale if you know already the vampire the masquerade franchise for one more taste of it","a nice little text based game with a lot of reading,the mechanics are not particularly flash out but not shown to be particularly useful either,worth it on sale if you know already the vampire the masquerade franchise for one more taste of it"
204045416,english,2025.08.11 02:26,✅,❌,0.6857379079,15,"A New York entry point to VtM. There is no combat or puzzles, so it may not click if you are not into text-driven play, yet the short-story format delivers dense, briskly paced writing.","A New York entry point to VtM. There is no combat or puzzles, so it may not click if you are not into text-driven play, yet the short-story format delivers dense, briskly paced writing."
204030739,english,2025.08.10 21:48,✅,✅,0.5,0,"A fun but short narrative adventure where side quests along the way feel more impactful than they end up. 100% worth it if you buy it on sale. Has atmospheric music, relationships, intrigue, action, cool characters. Railroaded at the end. 4/5","A fun but short narrative adventure where side quests along the way feel more impactful than they end up. 100% worth it if you buy it on sale. Has atmospheric music, relationships, intrigue, action, cool characters. Railroaded at the end. 4/5"
203688940,schinese,2025.08.06 15:45,❌,❌,0.5710052252,7,"[h1] 为醋包饺子的结局，想买就买骨折价的key，别在steam直接买 [/h1]
看见在打折，过来写个差评。对一个线性故事的视觉小说来说，故事就是最大的卖点，可惜纽约同僚并没有讲好这个故事。结尾唐突且生硬，完全是为了反转而反转。
都有点懒得长篇大论地批评了，随便列举一下其它优缺点
-男角色比较多
-可选女主并没有太多使用超能力的部分，但我就是为了看这个而来的啊
-标题里提到的结局糟糕，看社区反应就知道很明显不是我一个人这么想
+有特色的油画式立绘，比起第三代的贴近于真人，甚至有一点点AI感的画风，个人更喜欢这个。
+可选女主发型是毛寸，虽然肯定不是出于什么进步的思想，但对我个人来说算优点
[h2]第二部纽约阴影稍微好了一点，至少是锁女主。第三部看评价就知道又没讲好故事，非ip铁粉不推荐购买。如果是喜欢WOD世界观的视觉小说，比起血族ip，个人更推荐买狼人ip的WTA森林之心和炼狱[/h2]",
203599933,russian,2025.08.05 16:47,✅,✅,0.5,0,"Хорошо, приятная рисовка, выбор есть. На сколько он важен, пока, не знаю, но играть интересно. Немного не удобно читать, текст крупный, но окно вывода не большое, и его надо прокручивать.",
203527258,english,2025.08.04 23:10,✅,✅,0.5,0,"The story is interesting and embodies the vampire masquerade RPG. Interesting character design, you had the option of three clans and run the different missions.
Only thing is you cannot recruit all four for your coterie.","The story is interesting and embodies the vampire masquerade RPG. Interesting character design, you had the option of three clans and run the different missions.
Only thing is you cannot recruit all four for your coterie."
203469016,english,2025.08.04 02:08,❌,✅,0.5456631184,2,"So below this you will find a spoiler... if you do not know about this spoiler... what happens is so infuriating it makes me want to give this game a negative review.  But if you do know about it and can avoid this disastrous design flaw... I think the game is worth playing.

[spoiler] Don't start the quest to investigate the snooping reporter until you are ready to end the game.  Avoid this quest whenever you have the option while you have other things you want to do.  When you complete this quest, it ends the game abruptly no matter if you have quests to complete (quests that seem really important for the story) or not.

However, it will also make every other quest you did seem pointless and  I am not sure any choices you make affect the outcome of the story. [/spoiler]","So below this you will find a spoiler... if you do not know about this spoiler... what happens is so infuriating it makes me want to give this game a negative review.  But if you do know about it and can avoid this disastrous design flaw... I think the game is worth playing.

[spoiler] Don't start the quest to investigate the snooping reporter until you are ready to end the game.  Avoid this quest whenever you have the option while you have other things you want to do.  When you complete this quest, it ends the game abruptly no matter if you have quests to complete (quests that seem really important for the story) or not.

However, it will also make every other quest you did seem pointless and  I am not sure any choices you make affect the outcome of the story. [/spoiler]"
203371205,english,2025.08.02 11:29,✅,✅,0.5,0,"I like this game! It has some deep flaws (the ending comes out of nowhere! it sucks!!) but... the side quests were enchanting. Despite its flaws, I had a LOT of fun playing this.

My recommendation: once you pick a sidequest, follow it all the way through. The game doesn't give enough time to finish them all, so don't leave any half-done!","I like this game! It has some deep flaws (the ending comes out of nowhere! it sucks!!) but... the side quests were enchanting. Despite its flaws, I had a LOT of fun playing this.

My recommendation: once you pick a sidequest, follow it all the way through. The game doesn't give enough time to finish them all, so don't leave any half-done!"
203350384,french,2025.08.02 01:40,✅,✅,0.5,0,"Jeu chill, narratif, qui permet de découvrir l'univers de vampire la mascarade. La musique est super, l'histoire intrigante...",
203294022,english,2025.08.01 05:54,✅,❌,0.4744525552,0,"Vampire: The Masquerade – Coteries of New York is a narrative-driven visual novel developed by Draw Distance and set in the rich and complex universe of Vampire: The Masquerade, part of the larger World of Darkness franchise. Released on Steam in 2019, the game offers a more accessible entry point into the gothic-punk world of vampiric politics, morality, and survival, standing apart from the more action-oriented or open-ended Bloodlines title. While much smaller in scope, Coteries of New York delivers a focused, intimate story steeped in atmosphere and character-driven drama, making it an intriguing, if not flawless, addition to the franchise.

You begin the game by choosing one of three vampire characters, each from a different clan—Ventrue, Toreador, or Brujah. This choice not only determines your character’s personality and abilities but also subtly influences how the narrative unfolds. The main storyline revolves around your recent Embrace (transformation into a vampire) and your struggle to find a place in the dangerous and often treacherous world of Kindred society. Set in a contemporary, stylized version of New York City, the story takes place in the midst of a growing power struggle between the Camarilla—the rigid, authoritarian vampire sect that enforces the Masquerade—and various other forces threatening its dominance.

The writing is the heart and soul of Coteries of New York, and it largely succeeds in immersing players in the emotional and philosophical weight of vampiric existence. Themes of loss, identity, power, and loyalty are explored through well-crafted dialogue and branching story paths. While the game lacks traditional gameplay mechanics, it excels in choice-driven storytelling. Decisions matter—sometimes immediately, sometimes subtly across the story’s duration—and the game encourages role-playing that reflects your chosen character’s background and disposition. The interactions with potential coterie members (vampires who may join your group) are particularly compelling, each offering their own backstories, agendas, and moral gray areas. The coterie characters—such as the haunted Nosferatu Hope or the stoic Gangrel Tamika—are written with nuance and depth, and your evolving relationships with them form the emotional core of the game.

Structurally, the game is relatively linear, though it offers enough branching paths and alternate scenes to encourage multiple playthroughs. The narrative is divided into nights, during which you can choose how to spend your limited time: deepening relationships, investigating key plot threads, or dealing with existential crises. There's an ever-present sense of tension, both from the countdown to a potentially deadly political showdown and from the constant need to balance your hunger for blood with the fragile Masquerade—the rule that vampires must keep their existence hidden from humanity. This mechanic is more thematic than gameplay-based, but it adds a layer of psychological weight to your choices. Feeding too often or in reckless ways may lead to consequences, though these are more narratively implied than systemically enforced.

Visually, Coteries of New York employs a mix of still illustrations and ambient effects to create a moody, stylish presentation. The art is evocative, capturing the urban decay and supernatural tension of the World of Darkness. Characters are presented through detailed portraits, each with distinctive visual flair that aligns with their clan and personality. The music and ambient sounds do an excellent job of setting the tone, using dark synths and environmental noises to complement the noir-inspired storytelling. While the visual presentation is limited compared to fully animated games, it succeeds within the visual novel format, evoking a strong sense of place and mood without overstaying its welcome.

One area where Coteries of New York shows its limitations is in its brevity. A single playthrough can be completed in 4–6 hours, and while multiple endings and character choices offer some replay value, the core plot remains relatively compact. Additionally, players looking for mechanical complexity—such as combat, character builds, or strategic resource management—may find the experience too passive. This is a game for readers, for those who enjoy story above all else. There are occasional moments where dialogue branches feel inconsequential or converge too quickly, lessening the impact of some decisions. Moreover, the central plot sometimes takes a backseat to side character development, which, while enriching the world, can leave the main narrative arc feeling underdeveloped by the end.

Despite these shortcomings, Coteries of New York excels at what it sets out to do: telling a grounded, emotionally resonant story in the Vampire: The Masquerade universe. It captures the existential horror, political tension, and moral ambiguity that define the setting, all while being more approachable for newcomers than many previous titles. It doesn’t try to be an epic or an RPG in the traditional sense—instead, it offers a focused, character-driven journey that rewards thoughtful choices and narrative engagement. For fans of visual novels, urban fantasy, or the World of Darkness as a whole, this is a short but memorable experience that offers a taste of the complex underworld lurking beneath modern civilization.

Rating: 7/10","Vampire: The Masquerade – Coteries of New York is a narrative-driven visual novel developed by Draw Distance and set in the rich and complex universe of Vampire: The Masquerade, part of the larger World of Darkness franchise. Released on Steam in 2019, the game offers a more accessible entry point into the gothic-punk world of vampiric politics, morality, and survival, standing apart from the more action-oriented or open-ended Bloodlines title. While much smaller in scope, Coteries of New York delivers a focused, intimate story steeped in atmosphere and character-driven drama, making it an intriguing, if not flawless, addition to the franchise.

You begin the game by choosing one of three vampire characters, each from a different clan—Ventrue, Toreador, or Brujah. This choice not only determines your character’s personality and abilities but also subtly influences how the narrative unfolds. The main storyline revolves around your recent Embrace (transformation into a vampire) and your struggle to find a place in the dangerous and often treacherous world of Kindred society. Set in a contemporary, stylized version of New York City, the story takes place in the midst of a growing power struggle between the Camarilla—the rigid, authoritarian vampire sect that enforces the Masquerade—and various other forces threatening its dominance.

The writing is the heart and soul of Coteries of New York, and it largely succeeds in immersing players in the emotional and philosophical weight of vampiric existence. Themes of loss, identity, power, and loyalty are explored through well-crafted dialogue and branching story paths. While the game lacks traditional gameplay mechanics, it excels in choice-driven storytelling. Decisions matter—sometimes immediately, sometimes subtly across the story’s duration—and the game encourages role-playing that reflects your chosen character’s background and disposition. The interactions with potential coterie members (vampires who may join your group) are particularly compelling, each offering their own backstories, agendas, and moral gray areas. The coterie characters—such as the haunted Nosferatu Hope or the stoic Gangrel Tamika—are written with nuance and depth, and your evolving relationships with them form the emotional core of the game.

Structurally, the game is relatively linear, though it offers enough branching paths and alternate scenes to encourage multiple playthroughs. The narrative is divided into nights, during which you can choose how to spend your limited time: deepening relationships, investigating key plot threads, or dealing with existential crises. There's an ever-present sense of tension, both from the countdown to a potentially deadly political showdown and from the constant need to balance your hunger for blood with the fragile Masquerade—the rule that vampires must keep their existence hidden from humanity. This mechanic is more thematic than gameplay-based, but it adds a layer of psychological weight to your choices. Feeding too often or in reckless ways may lead to consequences, though these are more narratively implied than systemically enforced.

Visually, Coteries of New York employs a mix of still illustrations and ambient effects to create a moody, stylish presentation. The art is evocative, capturing the urban decay and supernatural tension of the World of Darkness. Characters are presented through detailed portraits, each with distinctive visual flair that aligns with their clan and personality. The music and ambient sounds do an excellent job of setting the tone, using dark synths and environmental noises to complement the noir-inspired storytelling. While the visual presentation is limited compared to fully animated games, it succeeds within the visual novel format, evoking a strong sense of place and mood without overstaying its welcome.

One area where Coteries of New York shows its limitations is in its brevity. A single playthrough can be completed in 4–6 hours, and while multiple endings and character choices offer some replay value, the core plot remains relatively compact. Additionally, players looking for mechanical complexity—such as combat, character builds, or strategic resource management—may find the experience too passive. This is a game for readers, for those who enjoy story above all else. There are occasional moments where dialogue branches feel inconsequential or converge too quickly, lessening the impact of some decisions. Moreover, the central plot sometimes takes a backseat to side character development, which, while enriching the world, can leave the main narrative arc feeling underdeveloped by the end.

Despite these shortcomings, Coteries of New York excels at what it sets out to do: telling a grounded, emotionally resonant story in the Vampire: The Masquerade universe. It captures the existential horror, political tension, and moral ambiguity that define the setting, all while being more approachable for newcomers than many previous titles. It doesn’t try to be an epic or an RPG in the traditional sense—instead, it offers a focused, character-driven journey that rewards thoughtful choices and narrative engagement. For fans of visual novels, urban fantasy, or the World of Darkness as a whole, this is a short but memorable experience that offers a taste of the complex underworld lurking beneath modern civilization.

Rating: 7/10"
202922115,brazilian,2025.07.26 19:04,✅,✅,0.5,0,"Adorei a historia, as decisões com base no seu estilo de escolha, e os desenvolvimentos dos personagens até agora.",
202912198,english,2025.07.26 16:02,❌,✅,0.557937026,3,"The story is alright but boy does the implementation of disciplines, feeding and diverging branches suck. You don't have a clear idea of what your blood levels are or have an active option to go feed to fix it, nor what the time frames are for missions - compare this with the mechanically much better VN Werewolf game ""Heart of the Forest"". Buy VtM Swansong on sale instead.","The story is alright but boy does the implementation of disciplines, feeding and diverging branches suck. You don't have a clear idea of what your blood levels are or have an active option to go feed to fix it, nor what the time frames are for missions - compare this with the mechanically much better VN Werewolf game ""Heart of the Forest"". Buy VtM Swansong on sale instead."
202864198,russian,2025.07.25 20:42,✅,✅,0.5,0,"Пришло время поделиться впечатлением об этой новелле. Как фанат Мира Тьмы я скажу однозначно да, потому что к этой игре хочется и нужно возвращаться. Почему? Три вариации прохождения за разных персонажей. У меня была только одна концовка на которую я вышла с трудом некоторые части из-за того, что сюжетная ветка ушла в сторону просто проскипала, однако.. Мне очень прильщала Софи и очень не прельстило то, что случилось в финале. Однако, у этой  игры есть куча плюсов: музыка как отдельный вид искусства, прекрасные фоновые арты, которые двигаются, локализации на разных языках. Пояснительные лоровые моменты ВТМА которые погрузят вас в МИР ТЬМЫ даже если вы не разбираетесь во вселенной настолки откуда это все пошло изначально. Художникам отдельный респект, хотя есть некоторые косяки в халатности ко второстепенным персонажам. Я определенно буду перепроходить это еще раз и еще..",
202845556,german,2025.07.25 14:35,❌,❌,0.5399239659,3,⠀,
202834943,english,2025.07.25 09:26,✅,✅,0.5,0,"Its not a bad game, runs fine on my 8 yr old Potato, Has many choices and its still is some what interesting.. The ending i got was a bit abrupt but the game can be played many times differently. It feels like a Vampire The Masquerade game. Worth it.","Its not a bad game, runs fine on my 8 yr old Potato, Has many choices and its still is some what interesting.. The ending i got was a bit abrupt but the game can be played many times differently. It feels like a Vampire The Masquerade game. Worth it."
202708041,english,2025.07.23 14:57,✅,✅,0.5,0,"Great story options, full modern urban horror experience, trust no one!","Great story options, full modern urban horror experience, trust no one!"
202534739,english,2025.07.20 21:52,❌,✅,0.5756536722,4,"You're not warned that when you follow the quest(s) of your patron, it will end the game without giving you the chance to follow the other quests. There is a bug that in some playthroughs skips a chapter. I am disappointed with the amount and variety of choices given. It's too short.","You're not warned that when you follow the quest(s) of your patron, it will end the game without giving you the chance to follow the other quests. There is a bug that in some playthroughs skips a chapter. I am disappointed with the amount and variety of choices given. It's too short."
202450605,swedish,2025.07.19 16:27,❌,✅,0.5,0,"I would not recommend to buy this and I'll explain why.

At the beginning it feels like a promising and fleshed out game however you won't be able/allowed to do most of the content because the game forces the story to move on without you as the player being able to do anything about it. Events are hardcoded in to happen no matter what. the mainstory don't even match up with what you've been doing at  all prior to these ""main events"" happening.

This game is a waste of your time, do not buy it!",
202425543,english,2025.07.19 05:06,✅,✅,0.5053885579,1,love to watch the draculas drink the blood,love to watch the draculas drink the blood
202409475,spanish,2025.07.18 23:21,✅,✅,0.5217391253,1,"Okay, first let's get this out of the way: I was misschieved by the game. They made me think my decisions would have a genuine impact on the ending. Spoiler: The ending is unvariable no matter which character you start with, no matter which companions you get, and no matter if you manage well your Hunger or not. So be aware of this before you give it a go.

Now, there is one thing that you can control: the companions you get and the side-quest you take. You may not choose the ending of the story, but you can choose the road you take to get there. The stories are okay. They do not blow my mind, but they are good enough to be enjoyed. 

The game can be completed in one evening and that gives it a plus with the little time I have to play now a days.

Coming from a background of playing a lot (and I mean, A LOT) of VTM, the tabletop roleplaying game (V20, Dark Ages, and V5) and after reading a lot of the source material, I can say that the game is a great introduction to the narrative you can expect from this setting. This is a world of fishes trying to eat eachother outside of your Neonate's hands. Not only the side-stories reflect this very well, but the ending is a prime example of it.

And, writting this having played the second one (Shadows), I can say that having played this game before allowed me to get more hints about the situation and really helped to improve the experience.

So,  if you are planning on getting the full pack (the complete trilogy), this game is, in my opinion, a must play. As I said, it is not a long game and, even if the ending does not really change, it is well enough sewn that you really do not notice until you give it a second playtrough.

And, please, play Shadows. It is the better version of the game.",
202269773,english,2025.07.16 22:55,❌,❌,0.5327904224,3,68%,0.68
202204988,swedish,2025.07.16 00:22,❌,❌,0.5,0,"Not very long to play through and while the choices decide some of the scenes you go through and people you befriend/recruit they don't feel like they have much impact on any of the important parts of the story. And for the small choices, what to say and how to deal with a situation, they most often felt pointless.",
202144822,english,2025.07.15 03:13,❌,❌,0.6181570292,9,"This is terrible. The ending just felt so rushed. I had created the habit of playing one in-game night per day right before I sleep, and I confess in the beginning it was really good, I was hyped all through to the end. 

Then the end came, and that's what ruined the game completely. It just came out of nowhere, I'm not sure what triggers the end game events but then each night the game takes control from your choices and pushes you towards these events, I couldn't complete the other missions I planned on doing for the other characters, missed a tonne of gameplay.

Played entirely on Steam Deck: compatibility mode > Proton Experimental is needed otherwise sounds will be disabled.","This is terrible. The ending just felt so rushed. I had created the habit of playing one in-game night per day right before I sleep, and I confess in the beginning it was really good, I was hyped all through to the end. 

Then the end came, and that's what ruined the game completely. It just came out of nowhere, I'm not sure what triggers the end game events but then each night the game takes control from your choices and pushes you towards these events, I couldn't complete the other missions I planned on doing for the other characters, missed a tonne of gameplay.

Played entirely on Steam Deck: compatibility mode > Proton Experimental is needed otherwise sounds will be disabled."
202019546,english,2025.07.13 07:38,❌,✅,0.5217391253,1,"This isn't really worth the money or time put into it. It plays like a ""choice of games"" interactive novel, but with a visual novel interface, and less overall quality.","This isn't really worth the money or time put into it. It plays like a ""choice of games"" interactive novel, but with a visual novel interface, and less overall quality."
201734865,german,2025.07.09 02:42,✅,✅,0.5,0,"Probably one of my favourite games ever. I have been tiptoeing around the World of Darkness for half my life and this was an amazing introduction. I played as Toreador and it felt like coming home. The fact that you can't go back in the story made me really think through my decisions, which I quite enjoyed. The art style, plot(s) and characters are just amazing. 

There's a lot of ""lore dump"", so if you're already a VTM expert this may feel a bit tedious. For newbies it may also be a bit much. But I personally enjoyed it as a kind of VTM tutorial. 

The end came a bit fast but it's also fun to replay so you can finish the other quest lines. 

The second game is a bit different and you can't import your character sadly. So this works as a standalone story just as well.",
201560408,english,2025.07.06 14:13,❌,✅,0.5238095522,1,"Outside of the excellent art style, sound/music design, and general WoD vibes, the story is...okay-ish at best and disappointing at worst. While playing, you feel like multiple plotlines are being set up and leading up to something interesting and cool, only to find out this is not the case. I will not spoil anything, but keep your expectations low when it comes to the overall story. I would say that the game would not be worth more than 5 euros, so instead of buying it for 20, wait for a discount to buy it instead of full price.","Outside of the excellent art style, sound/music design, and general WoD vibes, the story is...okay-ish at best and disappointing at worst. While playing, you feel like multiple plotlines are being set up and leading up to something interesting and cool, only to find out this is not the case. I will not spoil anything, but keep your expectations low when it comes to the overall story. I would say that the game would not be worth more than 5 euros, so instead of buying it for 20, wait for a discount to buy it instead of full price."
201492604,english,2025.07.05 14:08,✅,✅,0.5,0,a cool and moody story that has great and immersive writing.,a cool and moody story that has great and immersive writing.
